Nikkei225	2011-06-02	2011-06-03	2011-06-06	2011-06-07	2011-06-08	2011-06-09	2011-06-10	2011-06-13	2011-06-14	2011-06-15	2011-06-16	2011-06-17	2011-06-20	2011-06-21	2011-06-22	2011-06-23	2011-06-24	2011-06-27	2011-06-28	2011-06-29	2011-06-30
三菱ケミＨＤ	-1.93	-1.43	-0.73	1.10	1.63	-0.53	-0.54	0.90	3.21	-0.69	-1.74	-1.95	-0.90	0.91	1.81	-2.13	-0.54	0.36	0.73	1.44	1.07
住友化	-1.49	-1.51	-1.28	1.55	0.77	0.51	-0.76	1.27	0.50	0.25	-2.49	-1.02	-1.03	1.04	2.06	-2.02	0.77	-1.79	0.26	2.60	1.27
太陽誘電	-1.35	-0.09	-2.28	1.21	2.30	-3.60	-1.12	-0.28	1.90	1.21	-2.76	-0.09	-0.95	-1.24	3.29	-2.43	2.30	-2.91	-2.13	2.27	0.39
三井化学	-2.24	-2.67	1.18	1.94	0.38	0.00	0.76	-0.38	2.26	2.58	-3.24	-2.23	-0.38	0.76	3.79	-2.19	2.24	0.00	0.00	3.65	2.82
ファナック	-2.60	0.00	-1.13	0.00	-1.07	1.41	-1.39	0.66	1.65	1.54	-2.31	-0.57	0.82	0.00	1.87	1.04	2.06	-2.09	2.61	3.63	-0.37
ＮＴＴドコモ	-0.80	-1.28	-0.82	-0.07	0.75	-0.61	0.89	-1.29	-0.07	-1.03	-1.46	-0.56	-0.57	1.50	0.63	-0.77	-0.70	-1.28	0.79	1.92	0.00
ＪＲ東	-0.74	-1.07	-1.63	0.44	0.00	-1.21	1.55	-1.42	1.00	-0.88	-0.78	-0.67	-0.22	1.46	0.33	1.00	1.53	-0.54	0.54	1.29	-2.02
住金	-2.38	-1.22	0.62	0.00	-0.61	-0.62	1.24	0.00	0.61	0.00	1.83	-1.80	0.00	1.22	1.81	0.59	2.35	0.00	1.15	1.14	1.12
７＆ｉＨＤ	-1.42	-0.65	0.51	-0.93	1.31	0.37	1.11	0.05	2.46	-1.60	-1.36	-0.83	0.18	1.15	-0.78	-2.02	-0.23	0.09	0.42	0.14	0.79
テルモ	-1.21	-0.56	-1.90	0.34	0.11	1.59	-2.12	-0.68	-0.80	0.81	-2.18	-0.47	-0.83	-0.12	1.55	-0.35	0.47	-1.17	0.83	1.29	0.58
日軽金	-1.86	-1.27	-1.92	-1.31	1.99	-1.30	-0.66	1.32	1.31	-0.65	-2.60	-1.33	0.68	0.67	2.00	0.00	1.31	-1.29	1.31	2.58	3.77
住友鉱	-2.31	-1.18	-0.40	0.88	-1.03	-1.04	0.32	-0.56	1.06	0.08	-1.69	-1.14	0.41	0.90	2.28	-0.56	0.80	-0.56	0.32	3.59	1.15
新生銀	0.00	0.00	-2.35	-1.20	0.00	-1.22	-2.47	-1.27	3.85	-2.47	0.00	0.00	-2.53	0.00	-1.30	0.00	-1.32	0.00	0.00	5.33	1.27
ユニチカ	0.00	-3.45	-3.57	3.70	-1.79	-1.82	0.00	1.85	1.82	-1.79	-1.82	-1.85	1.89	0.00	1.85	-1.82	1.85	-1.82	1.85	0.00	-1.82
ヤマトＨＤ	-0.49	-0.41	-0.83	0.75	1.65	-1.14	1.40	-0.32	1.14	-1.45	-1.79	-0.66	0.25	1.17	1.57	-0.16	0.89	-0.97	0.16	1.54	0.88
東海カーボ	-1.12	-2.27	-0.70	0.70	0.00	0.00	1.40	-0.46	-1.84	-0.47	-1.18	0.24	0.48	1.18	2.11	0.92	1.59	-0.89	0.00	1.35	-0.22
清水建	-1.45	-0.59	-0.89	2.09	0.88	-0.58	0.29	0.29	1.74	-0.85	-2.01	-6.74	0.63	0.31	1.87	0.61	0.30	-0.61	0.61	0.61	0.60
協和キリン	-0.38	-0.51	-1.03	1.68	-0.13	0.64	-0.13	-1.02	0.77	1.02	-2.27	-0.64	0.65	0.00	0.39	-0.26	0.26	-1.03	-0.65	1.04	-1.16
明治ＨＤ	-1.18	-1.34	-0.15	-1.21	-0.46	0.00	1.08	0.30	0.61	0.75	-1.49	-1.21	1.69	0.45	1.50	0.00	1.48	-1.61	0.15	0.74	-0.44
サッポロＨＤ	-0.32	0.96	-2.23	0.00	-0.33	2.29	0.64	0.32	1.90	0.00	-2.17	-1.27	1.29	1.59	1.88	-0.61	2.78	0.60	-2.39	0.61	0.30
安川電	-1.36	-2.07	-1.18	0.60	0.95	-0.47	1.88	-1.04	1.17	0.12	-2.65	-0.36	-1.19	1.32	2.02	0.00	0.81	0.92	1.60	2.25	-1.10
ミツコシイセタン	-1.07	-2.17	-1.52	0.14	-1.12	-0.43	0.86	0.00	2.55	-0.83	1.11	-3.03	1.56	1.82	2.61	-0.13	0.94	-0.80	2.54	2.35	0.00
住友電工	-2.08	-0.18	-1.68	0.99	-1.16	1.26	0.71	-0.88	0.45	0.36	-1.59	0.27	-0.09	0.72	0.80	-1.68	2.61	-0.53	-0.09	2.12	0.78
ＪＸ	-2.58	-2.46	-0.39	2.14	1.34	-2.07	1.92	-0.57	0.38	0.76	-3.19	-0.97	-1.17	0.99	1.37	-0.58	0.78	-0.97	0.78	1.93	2.28
オリンパス	-2.54	-0.77	0.04	0.12	1.81	2.54	2.75	1.61	-0.04	1.24	-1.15	0.60	4.26	0.39	-0.54	-2.48	-0.96	-0.07	1.53	0.04	-0.99
日本ガイシ	-2.01	-0.73	-1.33	2.02	0.07	0.51	0.51	-1.38	2.95	1.00	1.42	-0.07	2.45	0.14	1.77	-0.94	2.37	-1.45	-0.34	0.13	0.20
三菱地所	-2.78	-1.07	-1.23	0.00	-0.73	0.00	1.70	-2.03	1.33	-0.29	-2.56	0.23	-2.63	1.77	2.35	-0.07	0.96	-1.10	1.63	2.19	0.36
横河電	-2.82	0.16	-0.80	1.13	0.96	3.65	0.77	-0.91	1.84	-2.26	-2.00	1.73	-1.39	1.72	3.24	1.04	1.33	-2.19	0.89	1.77	-0.87
